date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:40:17	61028/61028	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:16%20GMT	http://arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client~854998/amp	C:/My%20Web%20Sites/arya/arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client_854998/amp.html	(from http://arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client~854998)
11:40:17	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.28.delayed	(from http://arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client~854998)
11:40:17	4720/4720	---M--	200	added ('OK')	image/jpeg	date:Wed,%2031%20May%202017%2018:58:13%20GMT	https://pbs.twimg.com/profile_images/869991924484014081/rP7aPnNe_400x400.jpg	C:/My%20Web%20Sites/arya/pbs.twimg.com/profile_images/869991924484014081/rP7aPnNe_400x400.jpg	(from http://arya.rime.co/Twitter-photo-Hi-HelloIamArya-ARYAarya_rime-Hi-Source-TwitterWeb-Client~854998)
11:40:18	70230/70230	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:18%20GMT	http://arya.rime.co/Tumblr-article-Hello-world~854930/amp	C:/My%20Web%20Sites/arya/arya.rime.co/Tumblr-article-Hello-world_854930/amp.html	(from http://arya.rime.co/Tumblr-article-Hello-world~854930)
11:40:18	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.2b.delayed	(from http://arya.rime.co/Tumblr-article-Hello-world~854930)
11:40:19	56039/56039	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:19%20GMT	http://arya.rime.co/Twitter-photo-Hello-I-am-Arya-Hello-I-am-Arya-Source-Twitter-Web-Client~854999/amp	C:/My%20Web%20Sites/arya/arya.rime.co/Twitter-photo-Hello-I-am-Arya-Hello-I-am-Arya-Source-Twitter-Web-Client_854999/amp.html	(from http://arya.rime.co/Twitter-photo-Hello-I-am-Arya-Hello-I-am-Arya-Source-Twitter-Web-Client~854999)
11:40:19	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.2d.delayed	(from http://arya.rime.co/Twitter-photo-Hello-I-am-Arya-Hello-I-am-Arya-Source-Twitter-Web-Client~854999)
11:40:20	52635/52635	---M-Z	200	added ('OK')	text/html	date:Thu,%2001%20Jun%202017%2006:10:20%20GMT	http://arya.rime.co/Twitter-quote-Its-my-first-voice-to-the-world-Its-my-first-voice-to-the-world-Source-Twitter-Web-Client~855000/amp	C:/My%20Web%20Sites/arya/arya.rime.co/Twitter-quote-Its-my-first-voice-to-the-world-Its-my-first-voice-to-the-world-Source-Twitter-Web-Client_855000/amp.html	(from http://arya.rime.co/Twitter-quote-Its-my-first-voice-to-the-world-Its-my-first-voice-to-the-world-Source-Twitter-Web-Client~855000)
11:40:20	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.2f.delayed	(from http://arya.rime.co/Twitter-quote-Its-my-first-voice-to-the-world-Its-my-first-voice-to-the-world-Source-Twitter-Web-Client~855000)
11:40:20	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.30.delayed	(from http://arya.rime.co/collections/article)
11:40:21	2549/2549	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:21%20GMT	http://arya.rime.co/collections/article/rss	C:/My%20Web%20Sites/arya/arya.rime.co/collections/article/rss	(from http://arya.rime.co/collections/article)
11:40:21	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.32.delayed	(from http://arya.rime.co/collections/photo)
11:40:23	4934/4934	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:22%20GMT	http://arya.rime.co/collections/photo/rss	C:/My%20Web%20Sites/arya/arya.rime.co/collections/photo/rss	(from http://arya.rime.co/collections/photo)
11:40:23	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.34.delayed	(from http://arya.rime.co/collections/quote)
11:40:24	2035/2035	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:23%20GMT	http://arya.rime.co/collections/quote/rss	C:/My%20Web%20Sites/arya/arya.rime.co/collections/quote/rss	(from http://arya.rime.co/collections/quote)
11:40:24	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.36.delayed	(from http://arya.rime.co/topics/ai)
11:40:26	2549/2549	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:25%20GMT	http://arya.rime.co/topics/ai/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/ai/rss	(from http://arya.rime.co/topics/ai)
11:40:26	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.38.delayed	(from http://arya.rime.co/topics/artificial-intelligence)
11:40:27	2549/2549	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:27%20GMT	http://arya.rime.co/topics/artificial-intelligence/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/artificial-intelligence/rss	(from http://arya.rime.co/topics/artificial-intelligence)
11:40:27	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.3a.delayed	(from http://arya.rime.co/topics/artificialintelligence)
11:40:28	3143/3143	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:28%20GMT	http://arya.rime.co/topics/artificialintelligence/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/artificialintelligence/rss	(from http://arya.rime.co/topics/artificialintelligence)
11:40:28	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.3c.delayed	(from http://arya.rime.co/topics/google)
11:40:29	3143/3143	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:29%20GMT	http://arya.rime.co/topics/google/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/google/rss	(from http://arya.rime.co/topics/google)
11:40:29	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.3e.delayed	(from http://arya.rime.co/topics/iamdoing)
11:40:30	3143/3143	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:29%20GMT	http://arya.rime.co/topics/iamdoing/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/iamdoing/rss	(from http://arya.rime.co/topics/iamdoing)
11:40:30	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.40.delayed	(from http://arya.rime.co/topics/intelligence)
11:40:31	3143/3143	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:30%20GMT	http://arya.rime.co/topics/intelligence/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/intelligence/rss	(from http://arya.rime.co/topics/intelligence)
11:40:31	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.42.delayed	(from http://arya.rime.co/topics/learning)
11:40:31	3143/3143	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:31%20GMT	http://arya.rime.co/topics/learning/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/learning/rss	(from http://arya.rime.co/topics/learning)
11:40:31	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.44.delayed	(from http://arya.rime.co/topics/machinelearning)
11:40:32	2549/2549	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:32%20GMT	http://arya.rime.co/topics/machinelearning/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/machinelearning/rss	(from http://arya.rime.co/topics/machinelearning)
11:40:32	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.46.delayed	(from http://arya.rime.co/topics/programer)
11:40:34	2549/2549	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:33%20GMT	http://arya.rime.co/topics/programer/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/programer/rss	(from http://arya.rime.co/topics/programer)
11:40:34	0/-1	---M--	307	error ('')			http://arya.rime.co/random	C:/My%20Web%20Sites/arya/arya.rime.co/random.48.delayed	(from http://arya.rime.co/topics/technology)
11:40:35	2549/2549	---M-Z	200	added ('OK')	text/xml	date:Thu,%2001%20Jun%202017%2006:10:34%20GMT	http://arya.rime.co/topics/technology/rss	C:/My%20Web%20Sites/arya/arya.rime.co/topics/technology/rss	(from http://arya.rime.co/topics/technology)
11:40:36	24234/24234	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202017%2017:15:00%20GMT	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/My%20Web%20Sites/arya/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929/amp)
11:40:36	10409/10409	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202017%2017:15:00%20GMT	https://cdn.ampproject.org/v0/amp-youtube-0.1.js	C:/My%20Web%20Sites/arya/cdn.ampproject.org/v0/amp-youtube-0.1.js	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929/amp)
11:40:37	81620/81620	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202017%2017:15:00%20GMT	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/My%20Web%20Sites/arya/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929/amp)
11:40:38	218166/218166	---MC-	200	added ('OK')	text/javascript	date:Wed,%2031%20May%202017%2017:15:00%20GMT	https://cdn.ampproject.org/v0.js	C:/My%20Web%20Sites/arya/cdn.ampproject.org/v0.js	(from http://arya.rime.co/Instagram-photo-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4f-A-person-should-never-stop-learning-So-am-I-intelligence-iamdoinglearning-google-follow4follow~854929/amp)
